domain,topology,seed,within_island,between_island,pooled_exact,pooled_reconstructed,pooled_sampled_repro,pooled_published,final_best_fitness,final_mean_fitness
onemax,star_hub_out,14,0.02931755,0.02965680,0.02959004,0.02959004,0.03050000,0.03050000,1.00000000,0.98492000
onemax,star_hub_out,15,0.02830041,0.02864320,0.02857574,0.02857574,0.02600000,0.02600000,1.00000000,0.98544000
onemax,star_hub_out,16,0.02551347,0.02581280,0.02575390,0.02575390,0.02600000,0.02600000,1.00000000,0.98692000
onemax,star_hub_out,17,0.02827592,0.02846720,0.02842956,0.02842956,0.03200000,0.03200000,1.00000000,0.98556000
onemax,star_hub_out,18,0.02488490,0.02528320,0.02520482,0.02520482,0.01800000,0.01800000,1.00000000,0.98720000
onemax,star_hub_out,19,0.02906776,0.02933120,0.02927936,0.02927936,0.03100000,0.03100000,1.00000000,0.98512000
onemax,star_hub_out,20,0.02761959,0.02798800,0.02791550,0.02791550,0.02450000,0.02450000,1.00000000,0.98580000
onemax,star_hub_out,21,0.02828898,0.02865360,0.02858185,0.02858185,0.03150000,0.03150000,1.00000000,0.98548000
onemax,star_hub_out,22,0.02936653,0.02972640,0.02965558,0.02965558,0.02850000,0.02850000,1.00000000,0.98492000
onemax,star_hub_out,23,0.02680000,0.02720960,0.02712900,0.02712900,0.02800000,0.02800000,1.00000000,0.98620000
onemax,star_hub_out,24,0.02868571,0.02899840,0.02893687,0.02893687,0.02700000,0.02700000,1.00000000,0.98528000
onemax,star_hub_out,25,0.02932408,0.02968480,0.02961382,0.02961382,0.02600000,0.02600000,1.00000000,0.98492000
onemax,star_hub_out,26,0.03025959,0.03059920,0.03053237,0.03053237,0.02600000,0.02600000,1.00000000,0.98448000
onemax,star_hub_out,27,0.03272327,0.03310160,0.03302715,0.03302715,0.03750000,0.03750000,1.00000000,0.98316000
onemax,star_hub_out,28,0.03212408,0.03293840,0.03277815,0.03277815,0.03350000,0.03350000,1.00000000,0.98320000
onemax,star_hub_out,29,0.02710531,0.02759920,0.02750201,0.02750201,0.02500000,0.02500000,1.00000000,0.98600000
onemax,star_hub_in,0,0.02573878,0.02614560,0.02606554,0.02606554,0.02450000,0.02450000,1.00000000,0.98676000
onemax,star_hub_in,1,0.02995265,0.03029680,0.03022908,0.03022908,0.02500000,0.02500000,1.00000000,0.98464000
onemax,star_hub_in,2,0.02859592,0.02894480,0.02887614,0.02887614,0.03600000,0.03600000,1.00000000,0.98532000
