graph_id,lambda2,domain,seed,final_diversity,final_best_fitness,final_mean_fitness
rand3_12_s43,0.7329,nk4,9,0.02900000000000001,0.7623017630095192,0.7533818514977173
rand3_12_s43,0.7329,nk4,10,0.0795,0.7612649563646781,0.7519489128681882
rand3_12_s43,0.7329,nk4,11,0.025,0.7673078450506601,0.7588454426950434
rand3_12_s43,0.7329,nk4,12,0.094,0.7752852210052222,0.7626720810549689
rand3_12_s43,0.7329,nk4,13,0.023999999999999997,0.7636757878377335,0.7551730808172615
rand3_12_s43,0.7329,nk4,14,0.021,0.7543955814815688,0.7470516622005137
rand3_12_s43,0.7329,nk4,15,0.023,0.7675757249528375,0.7580902346570114
rand3_12_s43,0.7329,nk4,16,0.0195,0.7595662448074223,0.7522000869164975
rand3_12_s43,0.7329,nk4,17,0.030500000000000006,0.7476879076608541,0.7381034418713522
rand3_12_s43,0.7329,nk4,18,0.025500000000000002,0.7668673649091405,0.7582083078242065
rand3_12_s43,0.7329,nk4,19,0.019000000000000003,0.7663143010676352,0.7588043566694234
rand3_12_s36,0.8851,onemax,0,0.013999999999999999,1.0,0.9925666666666666
rand3_12_s36,0.8851,onemax,1,0.0115,1.0,0.9926666666666669
rand3_12_s36,0.8851,onemax,2,0.013500000000000002,1.0,0.9919333333333334
rand3_12_s36,0.8851,onemax,3,0.015500000000000003,1.0,0.9922166666666667
rand3_12_s36,0.8851,onemax,4,0.017000000000000005,1.0,0.9906333333333334
rand3_12_s36,0.8851,onemax,5,0.018999999999999996,1.0,0.99245
rand3_12_s36,0.8851,onemax,6,0.019999999999999997,1.0,0.9921833333333334
rand3_12_s36,0.8851,onemax,7,0.018000000000000006,1.0,0.9924166666666667
rand3_12_s36,0.8851,onemax,8,0.016500000000000004,1.0,0.99125
rand3_12_s36,0.8851,onemax,9,0.011,1.0,0.9923333333333333
rand3_12_s36,0.8851,onemax,10,0.017500000000000005,1.0,0.9918333333333332
rand3_12_s36,0.8851,onemax,11,0.013999999999999999,1.0,0.99185
rand3_12_s36,0.8851,onemax,12,0.015000000000000003,1.0,0.9914666666666668
rand3_12_s36,0.8851,onemax,13,0.0155,1.0,0.9914166666666667
rand3_12_s36,0.8851,onemax,14,0.019500000000000007,1.0,0.9913000000000002
rand3_12_s36,0.8851,onemax,15,0.0185,1.0,0.9923333333333335
rand3_12_s36,0.8851,onemax,16,0.018,1.0,0.9919000000000001
rand3_12_s36,0.8851,onemax,17,0.019500000000000003,1.0,0.9921166666666666
rand3_12_s36,0.8851,onemax,18,0.019000000000000006,1.0,0.9906333333333334
rand3_12_s36,0.8851,onemax,19,0.012499999999999999,1.0,0.9925833333333336
rand3_12_s36,0.8851,nk4,0,0.022500000000000003,0.7590399898433674,0.7510085375050718
rand3_12_s36,0.8851,nk4,1,0.0235,0.7699592905124605,0.7604824225081162
rand3_12_s36,0.8851,nk4,2,0.022000000000000006,0.7751003468448531,0.7655415434136315
rand3_12_s36,0.8851,nk4,3,0.0245,0.7673748221860586,0.7593097510013064
rand3_12_s36,0.8851,nk4,4,0.027000000000000007,0.7634831581501399,0.755311366861532
rand3_12_s36,0.8851,nk4,5,0.03350000000000001,0.7633175323233452,0.7529852650310318
rand3_12_s36,0.8851,nk4,6,0.0865,0.7778829954125988,0.7670946940733453
rand3_12_s36,0.8851,nk4,7,0.0235,0.7728465928753024,0.7644229730471905
rand3_12_s36,0.8851,nk4,8,0.0235,0.7719955218164993,0.762338567114367
rand3_12_s36,0.8851,nk4,9,0.018500000000000003,0.7645388307734677,0.7562972858637479
rand3_12_s36,0.8851,nk4,10,0.03300000000000001,0.7635610117125978,0.754950309553347
rand3_12_s36,0.8851,nk4,11,0.029500000000000005,0.7740280218487147,0.7648772560372783
rand3_12_s36,0.8851,nk4,12,0.03300000000000001,0.7652972928292356,0.756516298282456
rand3_12_s36,0.8851,nk4,13,0.022,0.7663588562835985,0.7575291437167931
rand3_12_s36,0.8851,nk4,14,0.0295,0.7602961898466765,0.7520416177755292
rand3_12_s36,0.8851,nk4,15,0.1135,0.7638492348000941,0.7554757909043776
rand3_12_s36,0.8851,nk4,16,0.026500000000000006,0.7735393657998693,0.7648571543403517
rand3_12_s36,0.8851,nk4,17,0.030500000000000006,0.7656130696335289,0.7551516640948246
rand3_12_s36,0.8851,nk4,18,0.020000000000000004,0.7720213507411974,0.7624211381158809
rand3_12_s36,0.8851,nk4,19,0.156,0.7524030444597603,0.744198485501192
rand3_12_s89,1.0327,onemax,0,0.013499999999999998,1.0,0.9927333333333335
rand3_12_s89,1.0327,onemax,1,0.011999999999999999,1.0,0.99245
rand3_12_s89,1.0327,onemax,2,0.014500000000000002,1.0,0.9919333333333334
rand3_12_s89,1.0327,onemax,3,0.015500000000000003,1.0,0.9922666666666667
rand3_12_s89,1.0327,onemax,4,0.017000000000000005,1.0,0.9907166666666668
rand3_12_s89,1.0327,onemax,5,0.019,1.0,0.9924666666666667
rand3_12_s89,1.0327,onemax,6,0.0185,1.0,0.9921999999999999
rand3_12_s89,1.0327,onemax,7,0.018500000000000006,1.0,0.9923500000000002
rand3_12_s89,1.0327,onemax,8,0.015000000000000003,1.0,0.9910166666666669
rand3_12_s89,1.0327,onemax,9,0.0105,1.0,0.9924000000000001
rand3_12_s89,1.0327,onemax,10,0.020500000000000008,1.0,0.9914166666666667
rand3_12_s89,1.0327,onemax,11,0.016999999999999998,1.0,0.9918166666666667
rand3_12_s89,1.0327,onemax,12,0.014500000000000002,1.0,0.9915000000000002
rand3_12_s89,1.0327,onemax,13,0.015,1.0,0.9913999999999998
rand3_12_s89,1.0327,onemax,14,0.021000000000000008,1.0,0.9916
rand3_12_s89,1.0327,onemax,15,0.017500000000000005,1.0,0.9922500000000001
rand3_12_s89,1.0327,onemax,16,0.017500000000000005,1.0,0.9919
rand3_12_s89,1.0327,onemax,17,0.019500000000000003,1.0,0.9921166666666666
rand3_12_s89,1.0327,onemax,18,0.021000000000000008,1.0,0.9902166666666669
rand3_12_s89,1.0327,onemax,19,0.0115,1.0,0.9930500000000002
rand3_12_s89,1.0327,nk4,0,0.015500000000000003,0.7625660318175487,0.7546404254629273
